"surname","lastname","adress","billing_adress","username","password","email","balance","status"
"Tomas","Zwolinski","Storgatan 3","Storgatan 3","bnkb","user","t@mail.com",100,"online"
"Joel","Löfgren","Störregatan 1","Störregatan 1","jo3l","user","j@mail.com",200,"online"
"Joel","Agren","Mindregatan 2","Mindregatan 2","agren","user","ja@mail.com",200,"online"
"Richard","Sönnerberg","Kustvägen 10","Kustvägen 10","sonnerberg","user","r@mail.com",500,"online"
"Richard","Aberg","Havsgatan 8","Havsgatan 8","aberg","user","ra@mail.com",500,"online"
"Richard","Bberg","Kustvägen 5","Havsgatan 8","bberg","user","rb@mail.com",0,"offline"
"Patrik","Malvenius","Lefrance 10","Lefrance 5","patrik","user","p@mail.com",1000,"online"
"Patrik","Avenius","Baguette 2","Baguette 2","avenius","user","pa@mail.com",2000,"offline"
"Patrik","Bvenius","Baguette 5","Baguette 5","bvenius","user","pb@mail.com",3000,"online"
"Patrik","Cvenius","Lefrance 10","Lefrance 5","cvenius","user","pc@mail.com",10000,"online"
"Patrik","Cvenius","Lefrance 10","Lefrance 5","1","user","pc1@mail.com",10000,"online"
"Patrik","Cvenius","Lefrance 11","Lefrance 6","2","user","pc2@mail.com",10000,"online"
